GDP,CPI,CPI_gap,GDP_gap,comm,FC,Covid,trend
9.465141143670994,2.6001198531085064,0.6001198531085064,0.0021216035557287682,-0.31578946952908593,0,0,1
9.492027020236272,2.8229703642803954,0.8229703642803954,0.012357420281285059,-0.399999996,0,0,2
9.511611653949917,2.478341179527977,0.47834117952797683,0.015562659772937693,-0.5135134996347703,0,0,3
9.536261678492028,2.0876717358352512,0.08767173583525123,0.024165212339953612,-0.11578947246537398,0,0,4
9.556629267150484,2.5159132331020118,0.5159132331020118,0.028868781237022745,-0.4133333278222223,0,0,5
9.561450837883003,2.9376892519387283,0.9376892519387283,0.0184462111309589,-0.2666666622222223,0,0,6
9.56402820894982,3.0942704699139068,1.0942704699139068,0.006217704002819957,-0.2702702666179694,0,0,7
9.568936035152179,3.2224274814308185,1.2224274814308185,-0.0032352305072826937,-0.3432835795277345,0,0,8
9.581230632830543,3.090789878546175,1.090789878546175,-0.004853307285024755,-0.31147540728298845,0,0,9
9.587122048927048,2.669751714737913,0.6697517147379131,-0.01242148859534531,-0.36666666361111117,0,0,10
9.606843743410884,2.096730569736135,0.09673056973613514,-0.005698290359072544,-0.26315789012003704,0,0,11
9.629426951834814,1.79215768198858,-0.20784231801141995,0.004363310516909635,-0.47126436239926023,0,0,12
9.644699627835067,2.1031703092627065,0.10317030926270654,0.007610616640663537,-0.015873015621063243,0,0,13
9.665090981871304,2.4120150296743863,0.4120150296743863,0.01648946037460952,-0.2702702666179694,0,0,14
9.679417603498024,2.4658731044536837,0.4658731044536837,0.019828296540605805,-0.6065573671056169,0,0,15
9.695557961030797,2.6360774690606497,0.6360774690606497,0.025507152808847522,-0.18367346563931702,0,0,16
9.705551389828964,2.8308257948234252,0.8308257948234252,0.025554531207966136,0.0,0,0,17
9.716361150941074,3.1124673414338653,1.1124673414338653,0.026906917485296944,-0.056603772516909956,0,0,18
9.726836915637303,3.1968273200252635,1.1968273200252635,0.028371236027794566,-0.4642857059948981,1,0,19
9.733831271458362,3.011576763232313,1.0115767632323132,0.026740510669519324,-0.523809515495087,1,0,20
9.734997478242283,3.011046188506015,1.0110461885060151,0.019590705519334506,-0.35999999280000017,1,0,21
9.704536854807218,2.948553673445183,0.9485536734451832,-0.018970869152949987,-0.4285714183673472,1,0,22
9.698780070202474,2.2809963059543166,0.28099630595431657,-0.03271979703731631,-0.4857142718367351,0,0,23
9.713702130270267,1.3533634170156768,-0.6466365829843232,-0.02577546823761523,-0.3809523718820864,0,0,24
9.729593226673261,0.6819654883642223,-1.3180345116357777,-0.017921637164104,-0.4736841980609422,0,0,25
9.73747712307536,0.6549271966665587,-1.3450728033334411,-0.01819237655815442,-0.21951218976799539,0,0,26
9.74292045227389,1.470466884092535,-0.529533115907465,-0.021067689004487633,-0.1555555520987655,0,0,27
9.758160954895569,2.210745354880865,0.21074535488086488,-0.014345099023081787,-0.3999999866666671,0,0,28
9.767501005628194,2.3141216231898367,0.3141216231898367,-0.013744329767204633,-0.33333332478632505,0,0,29
9.774296782905386,2.1707776215270216,0.17077762152702158,-0.01592233495741091,-0.09090908677685969,0,0,30
9.786114086119811,2.092723939303565,0.09272393930356504,-0.013317857149097279,0.11764705536332191,0,0,31
9.797296720038439,2.0665264431324886,0.06652644313248857,-0.011581682064022658,0.3043478128544429,0,0,32
9.814461019209428,2.223298119205848,0.22329811920584808,-0.004083741982034539,0.5294117335640156,0,0,33
9.830020006035344,2.2391791787872948,0.23917917878729478,0.0016099572227084025,-0.33333332222222256,0,0,34
9.842666406722618,2.2149665192046153,0.2149665192046153,0.004215665818662728,-0.17647058304498286,0,0,35
9.849398142130786,2.3383067740030716,0.33830677400307163,0.0007538225041248126,-0.3142857053061227,0,0,36
9.870517334276192,2.5806759982614165,0.5806759982614165,0.001106258361375012,-0.11999999520000018,0,0,37
9.88246090893754,2.491897169719477,0.49189716971947695,0.002515442355033315,-0.14285713775510223,0,0,38
9.901646583992953,2.382329420350158,0.38232942035015816,0.011091193634477747,0.15789472853185638,0,0,39
9.914096824655648,2.528619175910648,0.5286191759106482,0.012873088839185698,0.11111110493827195,0,0,40
9.921328060055249,2.6539824590520884,0.6539824590520884,0.009387736529022916,0.599999940000006,0,0,41
9.937939919984945,2.7834334953142883,0.7834334953142883,0.015236900246897278,0.3043478128544429,0,0,42
9.943108209739586,2.9000424794951383,0.9000424794951383,0.00959265170203949,-0.7777776913580343,0,1,43
9.945460939949111,2.533994259606455,0.5339942596064549,-0.009888242950864878,0.18181817355371938,0,1,44
9.97097391981525,2.22657719128821,0.22657719128820997,0.004597835612399237,0.4285714081632663,0,1,45
9.989354948345403,3.3087586009938517,1.3087586009938517,0.011902666831263176,-0.23076921301775286,0,1,46
10.001120260455538,6.768872743119448,4.768872743119448,0.0014272324077122533,-0.5789473379501401,0,1,47
10.031179576056857,5.199519812617162,3.1995198126171616,0.009188712535458166,-0.09090908264462885,0,0,48
